"","Bat_Index","Bat_ID","General.Location","Site.Name","Date","Julian.Day","Year","Site_Net","Net_UTMx","Net_UTMy","Species","Sex","Reprod","Mass..g.","RFA..mm.","Age","WingScore.","forage_radius","fnet_id","open_water","developed_open","developed_low","developed_medium","developed_high","barren_land","deciduous_forest","evergreen_forest","mixed_forest","shrub_scrub","grassland_herb","pasture_hay","crop","woody_wet","herb_wet","total_area","COI_ID","s16_ID","dominant_veg","SexReprod","gmm_8cluster","max.depth","raw.richness","rel.richness","prop.richness","ed.richness","log.ed.richness","clr.richness","evenness","Geo.Section","Geo.Sub.Section"
"MLG16_4_3055","M-3055","M-3055","St. Croix State Park","Gate 25/27","6/27/16",179,2016,"Gate 25/27_Net2",522369,5083328,"EPFU","M","NR",21,"47","A","0",405.7866,"522369_5083328_405.7866",0,35,0,0,0,0,431,0,0,0,0,0,0,107,1,574,"MLGANML_4_3055","MLG16_4_3055","deciduous_forest","Male Non-Reproductive",1,15503,67,0.00432174417854609,0.0880965196947421,10,3.32192809488736,-1.04640245946963,0.37740527524417,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3056","F-3056","F-3056","St. Croix State Park","Gate 25/27","6/27/16",179,2016,"Gate 25/27_Net2",522369,5083328,"EPFU","F","L",23,"47","A","0",405.7866,"522369_5083328_405.7866",0,35,0,0,0,0,431,0,0,0,0,0,0,107,1,574,"MLGANML_4_3056","MLG16_4_3056","deciduous_forest","Female Reproductive",1,31194,152,0.00487273193562865,0.0993281201292026,36,5.16992500144231,-0.873285277757994,0.527800204466721,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3057","F-3057","F-3057","St. Croix State Park","Gate 25/27","6/27/16",179,2016,"Gate 25/27_Net1",522429,5083401,"MYSE","F","P",12.4,"37","A","Not recorded",275.352,"522429_5083401_275.352",0,17,0,0,0,0,196,0,0,0,0,0,0,52,0,265,"MLGANML_4_3057","MLG16_4_3057","deciduous_forest","Female Reproductive",1,17177,188,0.0109448681376259,0.223105475846812,51,5.6724253419715,0.294166532844062,0.443459245328131,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3058","M-3058","M-3058","St. Croix State Park","Gate 25/27","6/27/16",179,2016,"Gate 25/27_Net3",522285,5083127,"EPFU","M","NR",22,"48","A","0",405.7866,"522285_5083127_405.7866",0,35,0,0,0,0,481,0,0,0,0,0,0,58,2,576,"MLGANML_4_3058","MLG16_4_3058","deciduous_forest","Male Non-Reproductive",1,1452,54,0.0371900826446281,0.7581005984611,54,5.75488750216347,2.05882991356862,0.506899734500631,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3059","M-3059","M-3059","St. Croix State Park","Gate 25/27","6/27/16",179,2016,"Gate 25/27_Net1",522429,5083401,"EPFU","M","NR",21,"45","A","0",405.7866,"522429_5083401_405.7866",0,31,0,0,0,0,412,0,0,0,0,0,0,124,12,579,"MLGANML_4_3059","MLG16_4_3059","deciduous_forest","Male Non-Reproductive",1,10583,99,0.00935462534253047,0.190689199008169,28,4.8073549220576,0.0676637386968935,0.244152998701765,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3063","M-3063","M-3063","St. Croix State Park","Gate 25/27","6/28/16",180,2016,"Gate 25/27_Net3",522285,5083127,"EPFU","M","NR",20,"46","A","0",405.7866,"522285_5083127_405.7866",0,35,0,0,0,0,481,0,0,0,0,0,0,58,2,576,"MLGANML_4_3063","MLG16_4_3063","deciduous_forest","Male Non-Reproductive",1,43933,217,0.00493933944870598,0.100685879831122,37,5.20945336562895,-0.85369801608184,0.629396199727552,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3064","M-3064","M-3064","St. Croix State Park","Gate 25/27","6/28/16",180,2016,"Gate 25/27_Net1",522429,5083401,"EPFU","M","NR",21,"46","A","0",405.7866,"522429_5083401_405.7866",0,31,0,0,0,0,412,0,0,0,0,0,0,124,12,579,"MLGANML_4_3064","MLG16_4_3064","deciduous_forest","Male Non-Reproductive",1,8120,280,0.0344827586206897,0.702913198573127,107,6.74146698640115,1.94978715427333,0.715353514432779,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3065","M-3065","M-3065","St. Croix State Park","Gate 25/27","6/28/16",180,2016,"Gate 25/27_Net1",522429,5083401,"EPFU","M","NR",19,"45","A","0",405.7866,"522429_5083401_405.7866",0,31,0,0,0,0,412,0,0,0,0,0,0,124,12,579,"MLGANML_4_3065","MLG16_4_3065","deciduous_forest","Male Non-Reproductive",1,5171,185,0.0357764455617869,0.729284337718977,96,6.58496250072116,2.00292202043383,0.717106205652726,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3073","M-3073","M-3073","St. Croix State Park","Kennedy Brook","6/28/16",180,2016,"Kennedy Brook_Net3",520869,5083448,"MYLU","M","NR",10.8,"28.9","A","0",418.0344,"520869_5083448_418.0344",50,38,0,0,0,0,398,0,0,0,3,0,0,83,38,610,"MLGANML_4_3073","MLG16_4_3073","deciduous_forest","Male Non-Reproductive",1,11498,207,0.0180031309793007,0.366984513048746,41,5.35755200461808,1.01215979148672,0.356808922608133,"Western Superior Uplands","Mille Lacs Uplands"
"MLG16_4_3079","M-3079","M-3079","St. Croix State Park","Kennedy Brook","6/28/16",180,2016,"Kennedy Brook_Net3",520869,5083448,"MYLU","M","NR",10.6,"38.5","A","0",418.0344,"520869_5083448_418.0344",50,38,0,0,0,0,398,0,0,0,3,0,0,83,38,610,"MLGANML_4_3079","MLG16_4_3079","deciduous_forest","Male Non-Reproductive",1,32348,181,0.00559540002473105,0.114059335331716,44,5.4594316186373,-0.673774859633099,0.747773839322478,"Western Superior Uplands","Mille Lacs Uplands"
